rvr_address,name,evo5_status,evo5_address,evo5_prior_name
00014000,sat_add_u16,APPLIED,00014000,sat_add_u16
0001401f,sat_add_s16,APPLIED,0001401f,sat_add_s16
00014036,sat_sub_u16,APPLIED,00014036,sat_sub_u16
00014045,sat_sub_u16_clamp0,APPLIED,00014045,sat_sub_u16_clamp0
0001405c,sat_mul_u16,APPLIED,0001405c,sat_mul_u16
0001406f,mul_u16_hi,APPLIED,0001406f,mul_u16_hi
00014079,mul_u16_x2_or_sum_check_overflow,NO_FUNCTION,,
000140c0,div_u16_sat,APPLIED,000140c0,div_u16_sat
000140dc,div_u32_u16_sat,APPLIED,000140dc,div_u32_u16_sat
000140fc,div_u16_sat2,NO_FUNCTION,,
0001412b,div_u16_rounded,APPLIED,0001412b,div_u16_rounded
00014151,div_s32_s16_rounded,APPLIED,00014151,div_s32_s16_rounded
0001417d,div_u32_u16_rounded,APPLIED,0001417d,div_u32_u16_rounded
000141ba,muldiv_u16,APPLIED,000141ba,muldiv_u16
000141dc,muldiv_u16_scaled,APPLIED,000141dc,muldiv_u16_scaled
00014219,muldiv_s16_rounded,APPLIED,00014219,muldiv_s16_rounded
00014247,muldiv_s16_rounded_3op,APPLIED,00014247,muldiv_s16_rounded_3op
00014293,mul_u16_x2_sat_alt,APPLIED,00014293,mul_u16_x2_sat_alt
000142b4,mul_u16_sat_s16,APPLIED,000142b4,mul_u16_sat_s16
000142f3,mul_u16_x2_sat,APPLIED,000142f3,mul_u16_x2_sat
0001431f,mul_u16_dbl_sat,NO_FUNCTION,,
0001436c,mul_u16_shr8_sat,APPLIED,0001436c,mul_u16_shr8_sat
00014387,muldiv_u16_shr8_sat,APPLIED,00014387,muldiv_u16_shr8_sat
000143bf,mul_fixedpoint_8,APPLIED,000143bf,mul_fixedpoint_8
000143e8,mul_u16_shr8_sat2,NO_FUNCTION,,
0001442d,clamp_u8,APPLIED,0001442d,clamp_u8
0001443c,passthrough_or_sat,APPLIED,0001443c,passthrough_or_sat
0001444c,clamp_u16,APPLIED,0001444c,clamp_u16
00014471,select_min_xy_triple,APPLIED,00014471,select_min_xy_triple
000144b4,get_high_byte,APPLIED,000144b4,get_high_byte
000144bf,identity_passthrough_u16,APPLIED,000144bf,identity_passthrough_u16
000144c6,shift_left_byte_to_high,APPLIED,000144c6,shift_left_byte_to_high
000144d1,identity_passthrough_arg1,APPLIED,000144d1,identity_passthrough_arg1
000144da,round_high_byte_signed,APPLIED,000144da,round_high_byte_signed
000144ef,inc_if_signed_flag,APPLIED,000144ef,inc_if_signed_flag
00014502,swap_bytes_u16,NO_FUNCTION,,
0001450b,swap_invert_high_byte,APPLIED,0001450b,swap_invert_high_byte
0001451a,zero_ram_range,APPLIED,0001451a,zero_ram_range
0001452d,decrement_counters_in_range,APPLIED,0001452d,decrement_counters_in_range
0001454c,increment_counters_in_range,APPLIED,0001454c,increment_counters_in_range
0001456d,axis_interp_lerp_u8frac_256,APPLIED,0001456d,axis_interp_lerp_u8frac_256
00014599,weighted_blend_u8frac,APPLIED,00014599,weighted_blend_u8frac
000145c5,weighted_blend_4term_u8frac,APPLIED,000145c5,weighted_blend_4term_u8frac
0001460d,weighted_blend_2term_u8frac_div255,NO_FUNCTION,,
00014656,table_lookup_interp,APPLIED,00014656,FUN_00014656
00014735,axis_lookup_interp,APPLIED,00014735,axis_lookup_interp
000147c6,axis_interp_lerp_u8frac,APPLIED,000147c6,axis_interp_lerp_u8frac
0001481c,read_indexed_byte_f1fc,APPLIED,0001481c,read_indexed_byte_f1fc
00014838,table_read_word_indexed_f1fc,NO_FUNCTION,,
00014854,table_lookup_indexed,APPLIED,00014854,FUN_00014854
00014880,table_read_indexed,APPLIED,00014880,FUN_00014880
000148a2,table_3axis_interp_triple,UNVERIFIED_HASH_MISMATCH,000148a2,FUN_000148a2
0001497b,table_3axis_interp_triple_wrapper,NO_FUNCTION,,
000149a7,gear_indexed_table_lookup_f1fc,NO_FUNCTION,,
000149c8,init_copy_const_block_via_memcpy_banked,UNVERIFIED_HASH_MISMATCH,000149c8,FUN_000149c8
000149f5,eeprom_backup_table_write_dispatch,APPLIED,000149f5,FUN_000149f5
00014d6f,channel_validity_gated_handler_dispatch,APPLIED,00014d6f,FUN_00014d6f
00014dd8,adc_backup_snapshot_write_if_time_elapsed,APPLIED,00014dd8,FUN_00014dd8
00014edd,channel_periodic_update_ringbuf_snapshot,APPLIED,00014edd,FUN_00014edd
0001504b,adc_5channel_backup_snapshot_write,APPLIED,0001504b,FUN_0001504b
0001517c,entry,APPLIED,0001517c,entry
0001519e,stub_empty_0x1519e,APPLIED,0001519e,FUN_0001519e
000151a0,noop_return,APPLIED,000151a0,FUN_000151a0
000151a2,peripheral_register_cold_init,UNVERIFIED_HASH_MISMATCH,000151a2,FUN_000151a2
0001528c,peripheral_register_warm_init,APPLIED,0001528c,FUN_0001528c
00015319,update_flag_f9a0_bit6_cond,APPLIED,00015319,update_flag_f9a0_bit6_cond
