rvr_address,rvr_name,evo5_prior_name,decision
0001401f,sat_add_s16,sat_add_s16,ALREADY_CORRECT
00014036,sat_sub_u16,sat_sub_u16,ALREADY_CORRECT
00014045,sat_sub_u16_clamp0,sat_sub_u16_clamp0,ALREADY_CORRECT
0001405c,sat_mul_u16,sat_mul_u16,ALREADY_CORRECT
0001406f,mul_u16_hi,mul_u16_hi,ALREADY_CORRECT
000140c0,div_u16_sat,div_u16_sat,ALREADY_CORRECT
0001436c,mul_u16_shr8_sat,mul_u16_shr8_sat,ALREADY_CORRECT
0001442d,clamp_u8,clamp_u8,ALREADY_CORRECT
0001443c,passthrough_or_sat,passthrough_or_sat,ALREADY_CORRECT
000144b4,get_high_byte,get_high_byte,ALREADY_CORRECT
000144bf,identity_passthrough_u16,identity_passthrough_u16,ALREADY_CORRECT
000144c6,shift_left_byte_to_high,shift_left_byte_to_high,ALREADY_CORRECT
000144d1,identity_passthrough_arg1,identity_passthrough_arg1,ALREADY_CORRECT
000144da,round_high_byte_signed,round_high_byte_signed,ALREADY_CORRECT
000144ef,inc_if_signed_flag,inc_if_signed_flag,ALREADY_CORRECT
0001450b,swap_invert_high_byte,swap_invert_high_byte,ALREADY_CORRECT
0001451a,zero_ram_range,zero_ram_range,ALREADY_CORRECT
0001481c,read_indexed_byte_f1fc,read_indexed_byte_f1fc,ALREADY_CORRECT
00014880,table_read_indexed,table_read_indexed,ALREADY_CORRECT
0001517c,entry,entry,ALREADY_CORRECT
0001519e,stub_empty_0x1519e,stub_empty_0x1519e,ALREADY_CORRECT
00015319,update_flag_f9a0_bit6_cond,update_flag_f9a0_bit6_cond,ALREADY_CORRECT
0001553d,check_flag_fe96_bit7_clear,check_flag_fe96_bit7_clear,ALREADY_CORRECT
00015561,check_flag_fe8a_bit1_set,check_flag_fe8a_bit1_set,ALREADY_CORRECT
0001566c,adc_channel_read_and_store_f16e,adc_channel_read_and_store_f16e,ALREADY_CORRECT
00015689,adc_read_sequence_b,adc_read_sequence_b,ALREADY_CORRECT
000156ad,adc_read_channel_6,adc_read_channel_6,ALREADY_CORRECT
000156c2,zero_var_f15a,zero_var_f15a,ALREADY_CORRECT
