rvr_address,rvr_name,evo5_address,evo5_prior_name,similarity,rvr_instr_count,evo5_instr_count,decision
0001401f,sat_add_s16,0001401f,sat_add_s16,1.0,10,10,SKIPPED_TOO_SHORT
00014036,sat_sub_u16,00014036,sat_sub_u16,1.0,7,7,SKIPPED_TOO_SHORT
00014045,sat_sub_u16_clamp0,00014045,sat_sub_u16_clamp0,1.0,10,10,SKIPPED_TOO_SHORT
0001405c,sat_mul_u16,0001405c,sat_mul_u16,1.0,9,9,SKIPPED_TOO_SHORT
0001406f,mul_u16_hi,0001406f,mul_u16_hi,1.0,5,5,SKIPPED_TOO_SHORT
00014079,mul_u16_x2_or_sum_check_overflow,000141dc,muldiv_u16_scaled,0.5,34,26,SKIPPED_LOW_SIMILARITY
000140c0,div_u16_sat,000140c0,div_u16_sat,1.0,14,14,SKIPPED_TOO_SHORT
000140dc,div_u32_u16_sat,000140dc,div_u32_u16_sat,1.0,16,16,ALREADY_CORRECT
000140fc,div_u16_sat2,0001417d,div_u32_u16_rounded,0.8846,23,29,SKIPPED_LOW_SIMILARITY
0001412b,div_u16_rounded,0001412b,div_u16_rounded,1.0,19,19,ALREADY_CORRECT
00014151,div_s32_s16_rounded,00014151,div_s32_s16_rounded,1.0,22,22,ALREADY_CORRECT
0001417d,div_u32_u16_rounded,0001417d,div_u32_u16_rounded,1.0,29,29,ALREADY_CORRECT
000141ba,muldiv_u16,000141ba,muldiv_u16,1.0,17,17,ALREADY_CORRECT
000141dc,muldiv_u16_scaled,000141dc,muldiv_u16_scaled,1.0,26,26,ALREADY_CORRECT
00014219,muldiv_s16_rounded,00014219,muldiv_s16_rounded,1.0,23,23,ALREADY_CORRECT
00014247,muldiv_s16_rounded_3op,00014247,muldiv_s16_rounded_3op,1.0,32,32,ALREADY_CORRECT
00014293,mul_u16_x2_sat_alt,00014293,mul_u16_x2_sat_alt,1.0,16,16,ALREADY_CORRECT
000142b4,mul_u16_sat_s16,000142b4,mul_u16_sat_s16,1.0,29,29,ALREADY_CORRECT
000142f3,mul_u16_x2_sat,000142f3,mul_u16_x2_sat,1.0,21,21,ALREADY_CORRECT
0001431f,mul_u16_dbl_sat,000142b4,mul_u16_sat_s16,0.9063,35,29,SKIPPED_LOW_SIMILARITY
0001436c,mul_u16_shr8_sat,0001436c,mul_u16_shr8_sat,1.0,13,13,SKIPPED_TOO_SHORT
00014387,muldiv_u16_shr8_sat,00014387,muldiv_u16_shr8_sat,1.0,25,25,ALREADY_CORRECT
000143bf,mul_fixedpoint_8,000143bf,mul_fixedpoint_8,1.0,20,20,ALREADY_CORRECT
000143e8,mul_u16_shr8_sat2,00014387,muldiv_u16_shr8_sat,0.8929,31,25,SKIPPED_LOW_SIMILARITY
0001442d,clamp_u8,0001442d,clamp_u8,1.0,7,7,SKIPPED_TOO_SHORT
0001443c,passthrough_or_sat,0001443c,passthrough_or_sat,1.0,8,8,SKIPPED_TOO_SHORT
0001444c,clamp_u16,0001444c,clamp_u16,1.0,19,19,ALREADY_CORRECT
00014471,select_min_xy_triple,00014471,select_min_xy_triple,1.0,34,34,ALREADY_CORRECT
000144b4,get_high_byte,000144b4,get_high_byte,1.0,6,6,SKIPPED_TOO_SHORT
000144bf,identity_passthrough_u16,000144bf,identity_passthrough_u16,1.0,4,4,SKIPPED_TOO_SHORT
000144c6,shift_left_byte_to_high,000144c6,shift_left_byte_to_high,1.0,6,6,SKIPPED_TOO_SHORT
000144d1,identity_passthrough_arg1,000144d1,identity_passthrough_arg1,1.0,5,5,SKIPPED_TOO_SHORT
000144da,round_high_byte_signed,000144da,round_high_byte_signed,1.0,11,11,SKIPPED_TOO_SHORT
000144ef,inc_if_signed_flag,000144ef,inc_if_signed_flag,1.0,9,9,SKIPPED_TOO_SHORT
00014502,swap_bytes_u16,000144b4,get_high_byte,0.9091,5,6,SKIPPED_TOO_SHORT
0001450b,swap_invert_high_byte,0001450b,swap_invert_high_byte,1.0,8,8,SKIPPED_TOO_SHORT
0001451a,zero_ram_range,0001451a,zero_ram_range,1.0,10,10,SKIPPED_TOO_SHORT
0001452d,decrement_counters_in_range,0001452d,decrement_counters_in_range,1.0,15,15,ALREADY_CORRECT
0001454c,increment_counters_in_range,0001454c,increment_counters_in_range,1.0,15,15,ALREADY_CORRECT
0001456d,axis_interp_lerp_u8frac_256,0001456d,axis_interp_lerp_u8frac_256,1.0,20,20,ALREADY_CORRECT
00014599,weighted_blend_u8frac,00014599,weighted_blend_u8frac,1.0,19,19,ALREADY_CORRECT
000145c5,weighted_blend_4term_u8frac,000145c5,weighted_blend_4term_u8frac,1.0,31,31,ALREADY_CORRECT
0001460d,weighted_blend_2term_u8frac_div255,000145c5,weighted_blend_4term_u8frac,0.8667,29,31,SKIPPED_LOW_SIMILARITY
00014656,table_lookup_interp,00014656,table_lookup_interp,1.0,99,99,ALREADY_CORRECT
00014735,axis_lookup_interp,00014735,axis_lookup_interp,1.0,66,66,ALREADY_CORRECT
000147c6,axis_interp_lerp_u8frac,000147c6,axis_interp_lerp_u8frac,1.0,39,39,ALREADY_CORRECT
0001481c,read_indexed_byte_f1fc,0001481c,read_indexed_byte_f1fc,1.0,12,12,SKIPPED_TOO_SHORT
00014838,table_read_word_indexed_f1fc,00014880,table_read_indexed,0.9231,12,14,SKIPPED_TOO_SHORT
00014854,table_lookup_indexed,00014854,table_lookup_indexed,1.0,18,18,ALREADY_CORRECT
00014880,table_read_indexed,00014880,table_read_indexed,1.0,14,14,SKIPPED_TOO_SHORT
000148a2,table_3axis_interp_triple,000148a2,FUN_000148a2,0.9733,96,91,APPLIED
0001497b,table_3axis_interp_triple_wrapper,00014854,table_lookup_indexed,1.0,18,18,SKIPPED_ALREADY_NAMED
000149a7,gear_indexed_table_lookup_f1fc,00014880,table_read_indexed,1.0,14,14,SKIPPED_TOO_SHORT
000149c8,init_copy_const_block_via_memcpy_banked,000149c8,FUN_000149c8,0.8571,16,12,SKIPPED_LOW_SIMILARITY
000149f5,eeprom_backup_table_write_dispatch,000149f5,eeprom_backup_table_write_dispatch,1.0,339,339,ALREADY_CORRECT
00014d6f,channel_validity_gated_handler_dispatch,00014d6f,channel_validity_gated_handler_dispatch,1.0,42,42,ALREADY_CORRECT
00014dd8,adc_backup_snapshot_write_if_time_elapsed,00014dd8,adc_backup_snapshot_write_if_time_elapsed,1.0,103,103,ALREADY_CORRECT
00014edd,channel_periodic_update_ringbuf_snapshot,00014edd,channel_periodic_update_ringbuf_snapshot,1.0,142,142,ALREADY_CORRECT
0001504b,adc_5channel_backup_snapshot_write,0001504b,adc_5channel_backup_snapshot_write,1.0,116,116,ALREADY_CORRECT
0001517c,entry,0001517c,entry,1.0,11,11,SKIPPED_TOO_SHORT
0001519e,stub_empty_0x1519e,0001519e,stub_empty_0x1519e,1.0,1,1,SKIPPED_TOO_SHORT
000151a0,noop_return,0001519e,stub_empty_0x1519e,1.0,1,1,SKIPPED_TOO_SHORT
000151a2,peripheral_register_cold_init,000151a2,FUN_000151a2,0.9667,62,58,SKIPPED_LOW_SIMILARITY
0001528c,peripheral_register_warm_init,0001528c,peripheral_register_warm_init,1.0,35,35,ALREADY_CORRECT
00015319,update_flag_f9a0_bit6_cond,00015319,update_flag_f9a0_bit6_cond,1.0,13,13,SKIPPED_TOO_SHORT
00015341,compose_status_words_f0f6_fc,00015341,compose_status_words_f0f6_fc,1.0,127,127,ALREADY_CORRECT
00015477,compose_status_word_f102,00015477,compose_status_word_f102,1.0,82,82,ALREADY_CORRECT
0001553d,check_flag_fe96_bit7_clear,0001553d,check_flag_fe96_bit7_clear,1.0,5,5,SKIPPED_TOO_SHORT
00015549,check_flag_f0d8_bit0_clear,0001553d,check_flag_fe96_bit7_clear,1.0,5,5,SKIPPED_TOO_SHORT
00015555,check_flag_fe87_bit1_clear,0001553d,check_flag_fe96_bit7_clear,1.0,5,5,SKIPPED_TOO_SHORT
00015561,check_flag_fe8a_bit1_set,00015561,check_flag_fe8a_bit1_set,1.0,5,5,SKIPPED_TOO_SHORT
