"Function","Increased"
"f240_counter_reset_and_f074_table_load","extraout_: 0 -> 2"
"isc_f3fa_f3fc_f3fe_correction_calc","WARNING: 0 -> 1"
"efa0_max_hold_and_recovered_check","WARNING: 0 -> 1"
"f20e_bit15_update_dispatch","WARNING: 0 -> 1"
"isc_stepper_target_dispatch","WARNING: 0 -> 1"
"stub_empty_0x28f80","WARNING: 0 -> 1"
"sci3_timeout_clear_flag","in_R: 0 -> 2"
"startup_phase_reset_eed6_cluster","WARNING: 0 -> 1"
"f224_threshold_tier_and_change_flag","WARNING: 0 -> 1"
"lambda_enable_flag_update","WARNING: 0 -> 1"
"inj_channel_state_init","WARNING: 0 -> 1"
"isc_f462_integrator_update","in_stack_: 0 -> 1"
"stub_empty_0x26b8b","WARNING: 0 -> 1"
"f3ba_f3bc_f3a4_hysteresis_update","WARNING: 0 -> 1"
"check_hysteresis_gate_f490","WARNING: 0 -> 1"
"f33e_bit4_update_dispatch","WARNING: 0 -> 1"
"isc_f408_from_f402_dispatch","WARNING: 0 -> 1"
"o2_wideband_mode82_check","in_stack_: 0 -> 1"
"f33e_bit2_update_dispatch","WARNING: 0 -> 1"
"o2_mode16_lambda_select","WARNING: 0 -> 1"
"throttle_target_ramp_update","WARNING: 0 -> 1; extraout_: 2 -> 8"
"isc_f35c_correction_calc","WARNING: 0 -> 1"
"f414_trim_calc_gated_by_f0f8_f3f0","extraout_: 0 -> 2"
"cranking_mode_bit_update","WARNING: 0 -> 1"
"table_1e4a_lookup_with_f2d6_d8_reset","WARNING: 0 -> 1"
"coolant_temp_validity_and_scale","WARNING: 0 -> 1"
"o2_heater_soak_enable_check","WARNING: 0 -> 1"
"flash_timing_delay","WARNING: 0 -> 1"
"sci3_rx_process_tcu_byte","WARNING: 0 -> 1"
"f2e0_f2ec_composite_correction_calc","extraout_: 0 -> 8"
"o2_mode9_10_correction_apply","in_stack_: 4 -> 5"
"f0ec_bit1_threshold_gate_check","WARNING: 0 -> 1"
"f216_low_nibble_update_table_1cc3","WARNING: 0 -> 1"
"o2_heater_duty_downstream_correction","WARNING: 0 -> 1"
"iac_position_integrator","WARNING: 0 -> 1"
"f33e_bit0_update_from_rpm_load_window","WARNING: 0 -> 1"
"f33e_bit5_update_and_condition_check","WARNING: 0 -> 1; extraout_: 0 -> 2"
"o2_wideband_cell_offset_adjust","in_stack_: 6 -> 7"
"startup_phase_reset_wrapper","WARNING: 0 -> 1"
"o2_sensor2_threshold_flag_update_f226_bit13","WARNING: 0 -> 1"
"f2a0_f2c6_dual_timer_decay_and_f2c8_blend_dispatch","WARNING: 0 -> 1; extraout_: 0 -> 12"
"peripheral_block_ff21_warm_init","WARNING: 6 -> 7; in_R: 0 -> 2"
"f310_f316_composite_calc","extraout_: 0 -> 2"
"sum_byte_array","CONCAT: 0 -> 1"
"update_max","WARNING: 0 -> 1"
"isc_stepper_enable_check","WARNING: 0 -> 1"
"fueling_accel_enrichment_calc","WARNING: 0 -> 1"
"isc_f422_correction_calc","WARNING: 0 -> 1; extraout_: 2 -> 4"
"f3a4_bit10_update_dispatch","WARNING: 0 -> 1"
"sci3_timeout_set_retry","in_R: 0 -> 2"
"f3a4_bit12_13_update_and_check","extraout_: 0 -> 3"
"isc_f408_correction_calc","WARNING: 0 -> 1"
"isc_stepper_mode_state_reload_d","WARNING: 0 -> 1"
"timer_ff5a_set_clamped_armed","in_R: 0 -> 2"
"check_mode_gate_f510","in_stack_: 0 -> 1"
