address,name,return_type,params,calling_convention,hash,instruction_count
00014000,sat_add_u16,ushort,"ushort ushort",__stdcall_far_allstack,9b34e50c5e711205e5807da3e9bee93177a23610c4ec648197f073342743aafd,7
0001401f,sat_add_s16,short,"short short",__stdcall_far_allstack_32ret,05138c4c8d2b2abfb11f3db83950a99bd8331f5f3ee75c308a15b6a662bba61b,10
00014036,sat_sub_u16,ushort,"ushort ushort",__stdcall_far_allstack,e52781aa1a4a1cdac846437814d1301c4244ba9a7d276c2a6b80cdd4f84d3247,7
00014045,sat_sub_u16_clamp0,ushort,"ushort ushort",__stdcall_far_allstack_32ret,200d2be34aaca0c748b8a5a02b3df0b0886888b475c5aca05390ddad7f26a344,10
0001405c,sat_mul_u16,ushort,"ushort ushort",__stdcall_far_allstack,609a3f7977db2abf9e149e14a44ceaf414c89d512ab6fac2af997cc7248ae024,9
0001406f,mul_u16_hi,ushort,"ushort ushort",__stdcall_far_allstack,999b44fed83b08fd96fe62c57a014fea7dfc6e15a060787d573540ac16cd5e29,5
00014079,mul_u16_x2_or_sum_check_overflow,short,"ushort ushort ushort ushort",__stdcall,32421039111d27c6cf8a0a21f5430c09cae108552731ff6dfeede3e4c59ddfef,34
000140c0,div_u16_sat,ushort,"ushort ushort",__stdcall_far_allstack,133437c622fdfa642bd776900801d2d3fe949f9aed783c6141efe28e98fc57ac,14
000140dc,div_u32_u16_sat,ushort,"ushort ushort ushort",__stdcall_far_allstack,1575a803b40f136f178351e9e669f043430ab8f5348259ed9393349180c8d303,16
000140fc,div_u16_sat2,ushort,"ushort ushort ushort",__stdcall_far_allstack,fa09982b1f9df36f0a6fb1e00c3e3a9bbe7dc064f896939c950902958b342d30,23
0001412b,div_u16_rounded,ushort,"ushort ushort",__stdcall_far_allstack,5168314604d986c46324872df540098fbc45c456aef24c3eff892f500fcf1bd1,19
00014151,div_s32_s16_rounded,short,"ushort ushort ushort",__stdcall_far_allstack,e0581be2761e96158fb6786896fee3cfad99e1fa66413da57749a319d25b9065,22
0001417d,div_u32_u16_rounded,ushort,"uint ushort",__stdcall_far_allstack_32ret,f1f0c911639f15b1ecc9a8ed2348eb815f801f5c3bc095d739244dc57942d4a8,29
000141ba,muldiv_u16,ushort,"ushort ushort ushort",__stdcall_far_allstack,e54d94e9bc44d6daff86a245c3b08715989fbed6602d26809a3cda829f4a264c,17
000141dc,muldiv_u16_scaled,ushort,"ushort ushort ushort ushort",__stdcall_far_allstack_32ret,ef2d7a90bbf3516146a4a57701e6f9b4f30e76421efb263eaa35e401549da864,26
00014219,muldiv_s16_rounded,ushort,"ushort ushort ushort",__stdcall_far_allstack,85c23e0989561d9584d340cac2aea8459806bb37170a188a621f1635f6f6f09b,23
00014247,muldiv_s16_rounded_3op,short,"ushort ushort ushort",__stdcall_far_allstack_32ret,bbe7ba03b8e6d19ab928eaa4cbe96239820974cbadcc0095bf5103317edc6786,32
00014293,mul_u16_x2_sat_alt,ushort,"ushort ushort",__stdcall_far_allstack,10b00ecb1f5e6bef1c6494405f7af64d7bd9884f24798e657f349f9d80b3383b,16
000142b4,mul_u16_sat_s16,ushort,"ushort ushort ushort",__stdcall_far_allstack,76bdb1c12da99953f33e05d0ec543092690def36e1a688d1b09563bdde4b046b,29
000142f3,mul_u16_x2_sat,ushort,"ushort ushort",__stdcall_far_allstack,d44cb06a351f24d0901338af47add6edf74290e5c8dfc1546f2d456b16dbacc6,21
0001431f,mul_u16_dbl_sat,short,"ushort ushort ushort",__stdcall_far_allstack_32ret,7ad8518ddff6f1c73a19e87b41f3fa1282e3243ec3ae5c7fdebf2c8b899d6fe6,35
0001436c,mul_u16_shr8_sat,ushort,"ushort ushort",__stdcall_far_allstack,51db294e87ebd1479c559834ee7adf8499c4f363e271b87b1f2a32a024ab915e,13
00014387,muldiv_u16_shr8_sat,ushort,"ushort ushort ushort",__stdcall_far_allstack,e323fb3d62b1a2ed00dbdff7e1e38b6fba13cd0a8d6e63802c5ef4bee91a6fa0,25
000143bf,mul_fixedpoint_8,ushort,"ushort ushort",__stdcall_far_allstack,f4cc40fb8d924187ab092920e7800521d47559b51cc23e90f595a91b3bef49ef,20
000143e8,mul_u16_shr8_sat2,short,"ushort ushort ushort",__stdcall_far_allstack,1d52bfd27d8651d17c3ac9c2cb6fdfb1e8f7bb4825735ae8c3acf1e6d0798ae7,31
0001442d,clamp_u8,ushort,"ushort",__stdcall_far_allstack,8aa5746e35399fbb0eefc6dd705765d2a27f322640113bee378cc92bee5cc536,7
0001443c,passthrough_or_sat,ushort,"ushort ushort",__stdcall_far_allstack,8ff96d978bf7ab4ec1114c145224221844c286f6eb0f2bfb79d06aba52841267,8
0001444c,clamp_u16,ushort,"ushort ushort ushort",__stdcall_far_allstack,6108d4421ea633bee1582bcc054b8d90be258a109885ed0fff17f04d63ae822b,19
00014471,select_min_xy_triple,ushort,"ushort ushort ushort ushort ushort ushort",__stdcall_far_allstack,387e434da4eecad6ffcd838a8608cd443db38cb83bd8fe010c52ffdccb7e62d4,34
000144b4,get_high_byte,ushort,"ushort",__stdcall_far_allstack,2ce258db6e72bc83f19170f45a92c3be8b6f999719b130ab1ceaba7d3c7759d2,6
000144bf,identity_passthrough_u16,ushort,"ushort",__stdcall_far_allstack,edbd7f4facad872baa7b4825460c66fe53eaa095de4ec1aef6ae983ec3d2ba7b,4
000144c6,shift_left_byte_to_high,ushort,"ushort",__stdcall_far_allstack,cd7f2753a3ae949357a39e41aab50ad7a3833873ae99712abc685c9c3f2b0dea,6
000144d1,identity_passthrough_arg1,undefined2,"undefined2",__stdcall_far_allstack,ebbc8b036519e80a911a014006a3d2e2ae9e5dcb5b5631c36c3513fc76bdacef,5
000144da,round_high_byte_signed,char,"ushort",__stdcall_far_allstack,3e2c4a5a44d03108d51b9fc04133880eb00398be33ef59723cf8a3bb641596f0,11
000144ef,inc_if_signed_flag,short,"short ushort",__stdcall_far_allstack,08761f6203e5358abe185a3a5fe56044e002e9c98f92722bb42897791d721779,9
