address,name,return_type,params,calling_convention
00014000,sat_add_u16,ushort,"ushort a,ushort b",__stdcall_far_allstack
0001401f,sat_add_s16,short,"short a,short b",__stdcall_far_allstack_32ret
00014036,sat_sub_u16,ushort,"ushort a,ushort b",__stdcall_far_allstack
00014045,sat_sub_u16_clamp0,ushort,"ushort a,ushort b",__stdcall_far_allstack_32ret
0001405c,sat_mul_u16,ushort,"ushort a,ushort b",__stdcall_far_allstack
0001406f,mul_u16_hi,ushort,"ushort a,ushort b",__stdcall_far_allstack
00014079,mul_u16_x2_or_sum_check_overflow,short,"ushort a,ushort b,ushort c,ushort d",
000140c0,div_u16_sat,ushort,"ushort a,ushort b",__stdcall_far_allstack
000140dc,div_u32_u16_sat,ushort,"ushort a_hi,ushort a_lo,ushort b",__stdcall_far_allstack
000140fc,div_u16_sat2,ushort,"ushort a_hi,ushort a_lo,ushort b",__stdcall_far_allstack
0001412b,div_u16_rounded,ushort,"ushort a,ushort b",__stdcall_far_allstack
00014151,div_s32_s16_rounded,short,"ushort a_hi,ushort a_lo,ushort b",__stdcall_far_allstack
0001417d,div_u32_u16_rounded,ushort,"uint dividend,ushort divisor",__stdcall_far_allstack_32ret
000141ba,muldiv_u16,ushort,"ushort a,ushort b,ushort c",__stdcall_far_allstack
000141dc,muldiv_u16_scaled,ushort,"ushort a,ushort b,ushort c,ushort d",__stdcall_far_allstack_32ret
00014219,muldiv_s16_rounded,ushort,"ushort a,ushort b,ushort c",__stdcall_far_allstack
00014247,muldiv_s16_rounded_3op,short,"ushort a,ushort b,ushort c",__stdcall_far_allstack_32ret
00014293,mul_u16_x2_sat_alt,ushort,"ushort a,ushort b",__stdcall_far_allstack
000142b4,mul_u16_sat_s16,ushort,"ushort a,ushort b,ushort c",__stdcall_far_allstack
000142f3,mul_u16_x2_sat,ushort,"ushort a,ushort b",__stdcall_far_allstack
0001431f,mul_u16_dbl_sat,,,
0001436c,mul_u16_shr8_sat,ushort,"ushort a,ushort b",__stdcall_far_allstack
00014387,muldiv_u16_shr8_sat,ushort,"ushort a,ushort b,ushort c",__stdcall_far_allstack
000143bf,mul_fixedpoint_8,ushort,"ushort a,ushort b",__stdcall_far_allstack
000143e8,mul_u16_shr8_sat2,,,
0001442d,clamp_u8,ushort,ushort a,__stdcall_far_allstack
0001443c,passthrough_or_sat,ushort,"ushort flag,ushort value",__stdcall_far_allstack
0001444c,clamp_u16,ushort,"ushort value,ushort lo,ushort hi",__stdcall_far_allstack
00014471,select_min_xy_triple,,,
000144b4,get_high_byte,ushort,ushort a,__stdcall_far_allstack
000144bf,identity_passthrough_u16,ushort,ushort a,__stdcall_far_allstack
000144c6,shift_left_byte_to_high,ushort,ushort a,__stdcall_far_allstack
000144d1,identity_passthrough_arg1,undefined2,undefined2 a,__stdcall_far_allstack
000144da,round_high_byte_signed,char,ushort a,__stdcall_far_allstack
000144ef,inc_if_signed_flag,short,"short value,ushort flags",__stdcall_far_allstack
00014502,swap_bytes_u16,undefined2,ushort a,__stdcall_far_allstack
0001450b,swap_invert_high_byte,undefined2,byte a,__stdcall_far_allstack
0001451a,zero_ram_range,void,"ushort start_addr,ushort end_addr",__stdcall_far_allstack
